junction,time_seconds,hour,minute,vehicles_count,queue_length,waiting_time,day_type,congested
Carfax,61800,17,10,15,20,85.86,weekday,1
Carfax,62100,17,15,12,17,73.23,weekday,1
Carfax,62400,17,20,22,32,135.78,weekday,1
Carfax,62700,17,25,13,19,80.42,weekday,1
Carfax,63000,17,30,12,14,61.96,weekday,0
Carfax,63300,17,35,28,39,163.89,weekday,1
Carfax,63600,17,40,15,21,86.81,weekday,1
Carfax,63900,17,45,13,18,74.16,weekday,1
Carfax,64200,17,50,15,20,82.68,weekday,1
Carfax,64500,17,55,18,27,108.94,weekday,1
Carfax,64800,18,0,25,35,150.2,weekday,1
Carfax,65100,18,5,22,35,145.91,weekday,1
Carfax,65400,18,10,22,33,137.03,weekday,1
Carfax,65700,18,15,13,15,60.24,weekday,0
Carfax,66000,18,20,15,20,84.7,weekday,1
Carfax,66300,18,25,16,24,100.16,weekday,1
Carfax,66600,18,30,28,36,152.35,weekday,1
Carfax,66900,18,35,28,39,171.17,weekday,1
Carfax,67200,18,40,13,16,65.53,weekday,1
Carfax,67500,18,45,22,33,136.89,weekday,1
Carfax,67800,18,50,21,28,119.5,weekday,1
Carfax,68100,18,55,13,21,93.59,weekday,1
Carfax,68400,19,0,4,6,26.2,weekday,0
Carfax,68700,19,5,4,2,6.21,weekday,0
Carfax,69000,19,10,4,4,17.47,weekday,0
Carfax,69300,19,15,10,15,61.92,weekday,0
Carfax,69600,19,20,15,20,81.5,weekday,1
Carfax,69900,19,25,7,11,41.73,weekday,0
Carfax,70200,19,30,9,13,59.33,weekday,0
Carfax,70500,19,35,9,12,49.19,weekday,0
Carfax,70800,19,40,4,4,17.18,weekday,0
Carfax,71100,19,45,9,15,62.8,weekday,0
Carfax,71400,19,50,7,10,40.49,weekday,0
Carfax,71700,19,55,3,6,29.13,weekday,0
St_Giles,21600,6,0,3,3,14.5,weekday,0
St_Giles,21900,6,5,7,7,33.73,weekday,0
St_Giles,22200,6,10,10,14,60.93,weekday,0
St_Giles,22500,6,15,3,2,13.8,weekday,0
St_Giles,22800,6,20,2,0,1.69,weekday,0
St_Giles,23100,6,25,3,3,10.54,weekday,0
St_Giles,23400,6,30,7,7,29.26,weekday,0
St_Giles,23700,6,35,3,7,32.03,weekday,0
St_Giles,24000,6,40,1,1,0.0,weekday,0
St_Giles,24300,6,45,2,2,6.2,weekday,0
St_Giles,24600,6,50,4,8,36.37,weekday,0
St_Giles,24900,6,55,2,6,26.27,weekday,0
St_Giles,25200,7,0,6,8,36.45,weekday,0
St_Giles,25500,7,5,6,6,23.61,weekday,0
St_Giles,25800,7,10,9,13,51.53,weekday,0
St_Giles,26100,7,15,1,0,0.0,weekday,0
St_Giles,26400,7,20,8,11,49.34,weekday,0
St_Giles,26700,7,25,7,11,46.74,weekday,0
St_Giles,27000,7,30,4,6,25.98,weekday,0
St_Giles,27300,7,35,3,4,20.32,weekday,0
St_Giles,27600,7,40,4,3,13.56,weekday,0
St_Giles,27900,7,45,6,5,20.18,weekday,0
St_Giles,28200,7,50,1,0,0.76,weekday,0
St_Giles,28500,7,55,6,10,45.67,weekday,0
St_Giles,28800,8,0,18,25,108.9,weekday,1
St_Giles,29100,8,5,24,32,132.75,weekday,1
St_Giles,29400,8,10,8,10,38.9,weekday,0
St_Giles,29700,8,15,26,35,147.03,weekday,1
St_Giles,30000,8,20,30,42,177.76,weekday,1
St_Giles,30300,8,25,24,29,130.61,weekday,1
St_Giles,30600,8,30,20,26,111.13,weekday,1
St_Giles,30900,8,35,10,16,66.71,weekday,1
St_Giles,31200,8,40,13,18,81.61,weekday,1
St_Giles,31500,8,45,19,25,105.2,weekday,1
St_Giles,31800,8,50,26,34,144.81,weekday,1
St_Giles,32100,8,55,20,26,110.09,weekday,1
St_Giles,32400,9,0,16,23,100.91,weekday,1
St_Giles,32700,9,5,16,24,102.51,weekday,1
St_Giles,33000,9,10,16,22,89.31,weekday,1
St_Giles,33300,9,15,15,19,84.46,weekday,1
St_Giles,33600,9,20,16,19,78.0,weekday,1
St_Giles,33900,9,25,9,14,63.4,weekday,0
St_Giles,34200,9,30,18,25,108.38,weekday,1
St_Giles,34500,9,35,18,22,87.8,weekday,1
St_Giles,34800,9,40,16,27,115.58,weekday,1
St_Giles,35100,9,45,25,34,144.46,weekday,1
St_Giles,35400,9,50,10,12,47.45,weekday,0
St_Giles,35700,9,55,15,17,72.59,weekday,1
St_Giles,36000,10,0,4,6,22.29,weekday,0
St_Giles,36300,10,5,3,1,5.52,weekday,0
St_Giles,36600,10,10,4,6,25.62,weekday,0
St_Giles,36900,10,15,6,10,41.1,weekday,0
St_Giles,37200,10,20,4,5,24.74,weekday,0
St_Giles,37500,10,25,3,1,5.13,weekday,0
St_Giles,37800,10,30,3,4,16.36,weekday,0
St_Giles,38100,10,35,4,6,25.19,weekday,0
St_Giles,38400,10,40,3,6,28.51,weekday,0
St_Giles,38700,10,45,2,3,17.49,weekday,0
St_Giles,39000,10,50,2,0,0.0,weekday,0
St_Giles,39300,10,55,2,3,7.93,weekday,0
St_Giles,39600,11,0,8,14,60.06,weekday,0
St_Giles,39900,11,5,2,0,1.89,weekday,0
St_Giles,40200,11,10,3,6,21.56,weekday,0
St_Giles,40500,11,15,4,8,34.03,weekday,0
St_Giles,40800,11,20,4,6,26.95,weekday,0
St_Giles,41100,11,25,2,1,0.21,weekday,0
St_Giles,41400,11,30,3,1,0.0,weekday,0
St_Giles,41700,11,35,9,11,49.7,weekday,0
St_Giles,42000,11,40,6,6,24.14,weekday,0
St_Giles,42300,11,45,6,13,53.7,weekday,0
St_Giles,42600,11,50,4,4,16.24,weekday,0
St_Giles,42900,11,55,1,1,5.79,weekday,0
St_Giles,43200,12,0,9,10,43.25,weekday,0
St_Giles,43500,12,5,6,7,28.17,weekday,0
St_Giles,43800,12,10,4,5,21.01,weekday,0
St_Giles,44100,12,15,10,11,40.79,weekday,0
St_Giles,44400,12,20,7,11,43.81,weekday,0
St_Giles,44700,12,25,3,2,8.31,weekday,0
St_Giles,45000,12,30,9,9,32.96,weekday,0
St_Giles,45300,12,35,12,16,69.96,weekday,1
St_Giles,45600,12,40,10,13,54.87,weekday,0
St_Giles,45900,12,45,3,2,12.3,weekday,0
St_Giles,46200,12,50,7,12,52.56,weekday,0
St_Giles,46500,12,55,4,6,29.13,weekday,0
St_Giles,46800,13,0,8,14,64.2,weekday,0
St_Giles,47100,13,5,10,15,63.44,weekday,0
St_Giles,47400,13,10,12,16,72.02,weekday,1
St_Giles,47700,13,15,10,14,56.85,weekday,0
St_Giles,48000,13,20,16,21,88.14,weekday,1
St_Giles,48300,13,25,10,12,47.07,weekday,0
St_Giles,48600,13,30,4,4,18.74,weekday,0
St_Giles,48900,13,35,13,15,57.72,weekday,0
St_Giles,49200,13,40,6,7,37.07,weekday,0
St_Giles,49500,13,45,12,19,77.85,weekday,1
St_Giles,49800,13,50,8,12,46.3,weekday,0
St_Giles,50100,13,55,15,18,72.08,weekday,1
St_Giles,50400,14,0,1,0,2.31,weekday,0
St_Giles,50700,14,5,4,6,23.6,weekday,0
St_Giles,51000,14,10,3,4,22.12,weekday,0
St_Giles,51300,14,15,6,9,41.48,weekday,0
St_Giles,51600,14,20,2,0,0.0,weekday,0
St_Giles,51900,14,25,3,3,17.3,weekday,0
St_Giles,52200,14,30,3,4,13.41,weekday,0
St_Giles,52500,14,35,3,4,17.06,weekday,0
St_Giles,52800,14,40,3,5,18.24,weekday,0
St_Giles,53100,14,45,6,8,34.64,weekday,0
St_Giles,53400,14,50,2,1,1.77,weekday,0
St_Giles,53700,14,55,6,8,32.5,weekday,0
St_Giles,54000,15,0,3,5,23.71,weekday,0
St_Giles,54300,15,5,4,8,33.77,weekday,0
St_Giles,54600,15,10,3,2,6.87,weekday,0
St_Giles,54900,15,15,7,9,33.11,weekday,0
St_Giles,55200,15,20,3,5,20.77,weekday,0
St_Giles,55500,15,25,4,8,31.9,weekday,0
St_Giles,55800,15,30,6,10,43.61,weekday,0
St_Giles,56100,15,35,6,10,40.72,weekday,0
St_Giles,56400,15,40,4,3,13.87,weekday,0
St_Giles,56700,15,45,4,6,25.22,weekday,0
St_Giles,57000,15,50,7,12,58.17,weekday,0
St_Giles,57300,15,55,4,6,26.11,weekday,0
St_Giles,57600,16,0,7,12,50.33,weekday,0
St_Giles,57900,16,5,4,4,15.57,weekday,0
St_Giles,58200,16,10,6,8,37.28,weekday,0
St_Giles,58500,16,15,4,4,17.4,weekday,0
St_Giles,58800,16,20,4,8,36.64,weekday,0
St_Giles,59100,16,25,3,6,21.25,weekday,0
St_Giles,59400,16,30,10,10,35.17,weekday,0
St_Giles,59700,16,35,6,7,30.67,weekday,0
St_Giles,60000,16,40,6,10,40.42,weekday,0
St_Giles,60300,16,45,4,5,19.95,weekday,0
St_Giles,60600,16,50,0,0,0.0,weekday,0
St_Giles,60900,16,55,4,7,34.53,weekday,0
St_Giles,61200,17,0,20,27,112.89,weekday,1
St_Giles,61500,17,5,18,25,108.49,weekday,1
St_Giles,61800,17,10,15,22,93.9,weekday,1
St_Giles,62100,17,15,20,22,94.43,weekday,1
St_Giles,62400,17,20,12,17,75.52,weekday,1
St_Giles,62700,17,25,20,31,134.14,weekday,1
St_Giles,63000,17,30,15,21,83.39,weekday,1
St_Giles,63300,17,35,8,15,62.47,weekday,0
St_Giles,63600,17,40,24,33,143.69,weekday,1
St_Giles,63900,17,45,15,19,75.84,weekday,1
St_Giles,64200,17,50,14,18,73.52,weekday,1
St_Giles,64500,17,55,14,16,69.48,weekday,1
St_Giles,64800,18,0,10,13,52.34,weekday,0
St_Giles,65100,18,5,18,21,88.55,weekday,1
St_Giles,65400,18,10,21,29,119.54,weekday,1
St_Giles,65700,18,15,8,13,54.66,weekday,0
St_Giles,66000,18,20,14,18,71.06,weekday,1
St_Giles,66300,18,25,13,18,77.13,weekday,1
St_Giles,66600,18,30,15,20,84.44,weekday,1
St_Giles,66900,18,35,10,17,74.09,weekday,1
St_Giles,67200,18,40,8,6,23.04,weekday,0
St_Giles,67500,18,45,8,10,42.23,weekday,0
St_Giles,67800,18,50,7,10,43.33,weekday,0
St_Giles,68100,18,55,16,22,92.46,weekday,1
St_Giles,68400,19,0,8,8,33.93,weekday,0
St_Giles,68700,19,5,0,0,0.0,weekday,0
St_Giles,69000,19,10,2,3,9.52,weekday,0
St_Giles,69300,19,15,8,13,52.59,weekday,0
St_Giles,69600,19,20,9,15,65.34,weekday,0
St_Giles,69900,19,25,4,4,19.14,weekday,0
St_Giles,70200,19,30,1,4,20.99,weekday,0
St_Giles,70500,19,35,2,5,17.45,weekday,0
St_Giles,70800,19,40,6,8,30.16,weekday,0
St_Giles,71100,19,45,1,1,5.43,weekday,0
St_Giles,71400,19,50,1,0,0.0,weekday,0
St_Giles,71700,19,55,1,0,0.0,weekday,0
Headington,21600,6,0,6,5,16.54,weekday,0
Headington,21900,6,5,3,7,30.15,weekday,0
Headington,22200,6,10,5,6,23.78,weekday,0
Headington,22500,6,15,6,12,47.64,weekday,0
Headington,22800,6,20,9,11,45.88,weekday,0
Headington,23100,6,25,9,13,53.43,weekday,0
Headington,23400,6,30,6,9,37.71,weekday,0
Headington,23700,6,35,6,7,33.52,weekday,0
Headington,24000,6,40,10,16,66.59,weekday,1
Headington,24300,6,45,5,8,34.18,weekday,0
Headington,24600,6,50,1,3,15.44,weekday,0
Headington,24900,6,55,3,2,10.99,weekday,0
Headington,25200,7,0,2,1,6.77,weekday,0
Headington,25500,7,5,0,1,5.75,weekday,0
Headington,25800,7,10,9,12,47.75,weekday,0
Headington,26100,7,15,2,2,6.75,weekday,0
Headington,26400,7,20,3,4,18.63,weekday,0
Headington,26700,7,25,2,4,19.61,weekday,0
Headington,27000,7,30,1,0,0.0,weekday,0
Headington,27300,7,35,6,7,23.39,weekday,0
Headington,27600,7,40,7,9,40.81,weekday,0
Headington,27900,7,45,3,1,6.55,weekday,0
Headington,28200,7,50,7,9,32.49,weekday,0
Headington,28500,7,55,3,2,11.76,weekday,0
Headington,28800,8,0,7,9,38.27,weekday,0
Headington,29100,8,5,24,35,144.4,weekday,1
Headington,29400,8,10,16,19,77.34,weekday,1
Headington,29700,8,15,26,36,151.78,weekday,1
Headington,30000,8,20,18,25,104.69,weekday,1
Headington,30300,8,25,11,10,41.6,weekday,0
Headington,30600,8,30,22,32,138.11,weekday,1
Headington,30900,8,35,15,22,96.01,weekday,1
Headington,31200,8,40,7,9,39.6,weekday,0
Headington,31500,8,45,18,24,97.14,weekday,1
Headington,31800,8,50,16,21,92.56,weekday,1
Headington,32100,8,55,14,21,87.97,weekday,1
Headington,32400,9,0,14,16,69.65,weekday,1
Headington,32700,9,5,13,16,70.58,weekday,1
Headington,33000,9,10,22,28,119.52,weekday,1
Headington,33300,9,15,27,36,150.71,weekday,1
Headington,33600,9,20,11,16,65.66,weekday,1
Headington,33900,9,25,16,21,85.22,weekday,1
Headington,34200,9,30,19,31,132.55,weekday,1
Headington,34500,9,35,32,42,179.74,weekday,1
Headington,34800,9,40,23,33,138.66,weekday,1
Headington,35100,9,45,13,19,81.58,weekday,1
Headington,35400,9,50,13,18,80.25,weekday,1
Headington,35700,9,55,16,22,92.55,weekday,1
Headington,36000,10,0,2,4,18.83,weekday,0
Headington,36300,10,5,3,2,6.01,weekday,0
Headington,36600,10,10,3,5,21.15,weekday,0
Headington,36900,10,15,2,2,7.45,weekday,0
Headington,37200,10,20,7,7,31.95,weekday,0
Headington,37500,10,25,7,8,39.87,weekday,0
Headington,37800,10,30,3,8,33.62,weekday,0
Headington,38100,10,35,2,7,23.72,weekday,0
Headington,38400,10,40,2,0,0.0,weekday,0
Headington,38700,10,45,6,5,22.39,weekday,0
Headington,39000,10,50,3,5,21.06,weekday,0
Headington,39300,10,55,5,9,41.33,weekday,0
Headington,39600,11,0,5,4,18.61,weekday,0
Headington,39900,11,5,5,6,23.74,weekday,0
Headington,40200,11,10,3,1,0.0,weekday,0
Headington,40500,11,15,9,15,59.27,weekday,0
Headington,40800,11,20,3,1,4.3,weekday,0
Headington,41100,11,25,1,1,3.63,weekday,0
Headington,41400,11,30,7,8,29.61,weekday,0
Headington,41700,11,35,9,10,43.09,weekday,0
Headington,42000,11,40,3,0,0.6,weekday,0
Headington,42300,11,45,7,10,45.16,weekday,0
Headington,42600,11,50,2,3,11.14,weekday,0
Headington,42900,11,55,0,1,0.0,weekday,0
Headington,43200,12,0,6,10,44.46,weekday,0
Headington,43500,12,5,15,24,103.74,weekday,1
Headington,43800,12,10,9,13,50.09,weekday,0
Headington,44100,12,15,14,20,85.49,weekday,1
Headington,44400,12,20,18,26,107.6,weekday,1
Headington,44700,12,25,5,3,11.53,weekday,0
Headington,45000,12,30,14,18,73.01,weekday,1
Headington,45300,12,35,11,14,59.23,weekday,0
Headington,45600,12,40,10,12,53.2,weekday,0
Headington,45900,12,45,11,18,74.12,weekday,1
Headington,46200,12,50,6,5,21.23,weekday,0
Headington,46500,12,55,11,11,45.82,weekday,0
Headington,46800,13,0,9,12,47.96,weekday,0
Headington,47100,13,5,7,11,50.81,weekday,0
Headington,47400,13,10,13,21,90.37,weekday,1
Headington,47700,13,15,6,8,35.09,weekday,0
Headington,48000,13,20,6,6,24.78,weekday,0
Headington,48300,13,25,7,13,58.74,weekday,0
Headington,48600,13,30,9,11,44.13,weekday,0
Headington,48900,13,35,9,13,56.02,weekday,0
Headington,49200,13,40,13,14,59.65,weekday,0
Headington,49500,13,45,15,19,82.38,weekday,1
Headington,49800,13,50,5,8,33.55,weekday,0
Headington,50100,13,55,7,11,47.22,weekday,0
Headington,50400,14,0,3,2,5.92,weekday,0
Headington,50700,14,5,7,7,25.31,weekday,0
Headington,51000,14,10,5,7,38.36,weekday,0
Headington,51300,14,15,9,13,51.82,weekday,0
Headington,51600,14,20,3,6,27.96,weekday,0
Headington,51900,14,25,2,2,9.67,weekday,0
Headington,52200,14,30,2,7,30.7,weekday,0
Headington,52500,14,35,1,0,0.0,weekday,0
Headington,52800,14,40,6,12,51.57,weekday,0
Headington,53100,14,45,6,6,25.46,weekday,0
Headington,53400,14,50,3,2,10.35,weekday,0
Headington,53700,14,55,5,6,22.91,weekday,0
Headington,54000,15,0,5,7,34.68,weekday,0
Headington,54300,15,5,9,10,41.81,weekday,0
Headington,54600,15,10,5,6,28.02,weekday,0
Headington,54900,15,15,5,9,36.32,weekday,0
Headington,55200,15,20,5,4,12.39,weekday,0
Headington,55500,15,25,2,4,20.62,weekday,0
Headington,55800,15,30,1,2,4.99,weekday,0
Headington,56100,15,35,1,2,10.41,weekday,0
Headington,56400,15,40,3,5,23.37,weekday,0
Headington,56700,15,45,6,7,27.96,weekday,0
Headington,57000,15,50,11,19,79.15,weekday,1
Headington,57300,15,55,2,1,2.14,weekday,0
Headington,57600,16,0,5,5,25.56,weekday,0
Headington,57900,16,5,9,10,39.31,weekday,0
Headington,58200,16,10,3,5,17.3,weekday,0
Headington,58500,16,15,5,5,25.3,weekday,0
Headington,58800,16,20,1,0,1.47,weekday,0
Headington,59100,16,25,2,4,15.89,weekday,0
Headington,59400,16,30,10,16,64.77,weekday,1
Headington,59700,16,35,5,4,16.07,weekday,0
Headington,60000,16,40,1,2,12.69,weekday,0
Headington,60300,16,45,3,5,24.99,weekday,0
Headington,60600,16,50,3,8,36.67,weekday,0
Headington,60900,16,55,10,15,63.48,weekday,0
Headington,61200,17,0,23,29,122.22,weekday,1
Headington,61500,17,5,18,25,103.04,weekday,1
Headington,61800,17,10,18,26,108.72,weekday,1
Headington,62100,17,15,10,16,70.43,weekday,1
Headington,62400,17,20,18,26,106.13,weekday,1
Headington,62700,17,25,16,21,93.66,weekday,1
Headington,63000,17,30,10,15,66.99,weekday,0
Headington,63300,17,35,15,18,74.66,weekday,1
Headington,63600,17,40,16,22,94.7,weekday,1
Headington,63900,17,45,16,20,83.55,weekday,1
Headington,64200,17,50,22,31,129.18,weekday,1
Headington,64500,17,55,22,29,124.79,weekday,1
Headington,64800,18,0,15,20,82.55,weekday,1
Headington,65100,18,5,24,32,133.87,weekday,1
Headington,65400,18,10,11,11,45.51,weekday,0
Headington,65700,18,15,9,9,36.41,weekday,0
Headington,66000,18,20,19,24,98.52,weekday,1
Headington,66300,18,25,9,15,59.58,weekday,0
Headington,66600,18,30,6,7,30.4,weekday,0
Headington,66900,18,35,13,14,58.35,weekday,0
Headington,67200,18,40,16,22,89.21,weekday,1
Headington,67500,18,45,15,18,77.94,weekday,1
Headington,67800,18,50,15,17,70.22,weekday,1
Headington,68100,18,55,20,25,98.03,weekday,1
Headington,68400,19,0,13,18,71.38,weekday,1
Headington,68700,19,5,9,15,62.18,weekday,0
Headington,69000,19,10,3,8,38.48,weekday,0
Headington,69300,19,15,5,5,22.21,weekday,0
Headington,69600,19,20,3,5,19.71,weekday,0
Headington,69900,19,25,6,7,32.99,weekday,0
Headington,70200,19,30,5,4,18.84,weekday,0
Headington,70500,19,35,3,5,24.69,weekday,0
Headington,70800,19,40,5,8,33.52,weekday,0
Headington,71100,19,45,1,0,0.0,weekday,0
Headington,71400,19,50,6,12,46.2,weekday,0
Headington,71700,19,55,6,7,26.07,weekday,0
Botley_Rd,21600,6,0,5,7,27.86,weekday,0
Botley_Rd,21900,6,5,3,1,3.3,weekday,0
Botley_Rd,22200,6,10,2,0,2.25,weekday,0
Botley_Rd,22500,6,15,4,6,23.86,weekday,0
Botley_Rd,22800,6,20,5,10,42.41,weekday,0
Botley_Rd,23100,6,25,2,2,9.16,weekday,0
Botley_Rd,23400,6,30,8,9,34.86,weekday,0
Botley_Rd,23700,6,35,1,3,15.72,weekday,0
Botley_Rd,24000,6,40,4,2,7.22,weekday,0
Botley_Rd,24300,6,45,5,7,25.96,weekday,0
Botley_Rd,24600,6,50,4,9,36.68,weekday,0
Botley_Rd,24900,6,55,6,6,30.44,weekday,0
Botley_Rd,25200,7,0,6,7,27.92,weekday,0
Botley_Rd,25500,7,5,3,4,21.94,weekday,0
Botley_Rd,25800,7,10,4,7,29.72,weekday,0
Botley_Rd,26100,7,15,8,12,51.92,weekday,0
Botley_Rd,26400,7,20,3,4,14.76,weekday,0
Botley_Rd,26700,7,25,2,0,0.23,weekday,0
Botley_Rd,27000,7,30,6,8,34.95,weekday,0
Botley_Rd,27300,7,35,1,1,3.3,weekday,0
Botley_Rd,27600,7,40,3,0,3.09,weekday,0
Botley_Rd,27900,7,45,6,5,12.5,weekday,0
Botley_Rd,28200,7,50,5,3,11.43,weekday,0
Botley_Rd,28500,7,55,5,2,6.43,weekday,0
Botley_Rd,28800,8,0,10,14,60.14,weekday,0
Botley_Rd,29100,8,5,18,23,95.98,weekday,1
Botley_Rd,29400,8,10,17,25,98.85,weekday,1
Botley_Rd,29700,8,15,14,20,87.59,weekday,1
